PLAYER_NAME,Touch < 2 Seconds,Touch 2-6 Seconds,Touch 6+ Seconds
John Jenkins_203098__1610612756,0.6,0.294,0.106
Jonas Jerebko_201973_Boston Celtics_1610612738,0.805,0.195,0
Shabazz Napier_203894__1610612753,0.388,0.373,0.239
Quincy Acy_203112_Sacramento Kings_1610612758,0.843,0.148,0.01
Chase Budinger_201978_Indiana Pacers_1610612756,0.787,0.197,0.017
Brandon Rush_201575_Golden State Warriors_1610612744,0.823,0.162,0.015
Joe Ingles_204060__1610612762,0.715,0.261,0.024
Noah Vonleh_203943_Portland Trail Blazers_1610612757,0.723,0.259,0.018
Ray McCallum_203492_San Antonio Spurs_1610612763,0.517,0.276,0.207
Josh McRoberts_201177_Miami Heat_1610612748,0.608,0.338,0.054
Solomon Hill_203524_Indiana Pacers_1610612754,0.643,0.324,0.034
James Anderson_202341__1610612758,0.651,0.297,0.051
Bismack Biyombo_202687_Toronto Raptors_1610612761,0.844,0.156,0
Alonzo Gee_202087_New Orleans Pelicans_1610612740,0.672,0.328,0
Darrun Hilliard_1626199_Detroit Pistons_1610612765,0.504,0.481,0.015
Drew Gooden_2400__1610612764,0.738,0.252,0.01
Willie Reed_203186_Brooklyn Nets_1610612751,0.88,0.12,0
Glenn Robinson_203922_Indiana Pacers_1610612754,0.689,0.298,0.013
Kelly Oubre_1626162_Washington Wizards_1610612764,0.626,0.289,0.085
Phil Pressey_203515__1610612755,0.156,0.532,0.312
Axel Toupane_1626253_Denver Nuggets_1610612743,0.9,0.1,0
Kyle Singler_202713_Oklahoma City Thunder_1610612760,0.842,0.149,0.009
Jeff Withey_203481_Utah Jazz_1610612762,0.926,0.074,0
Johnny O'Bryant_203948_Milwaukee Bucks_1610612749,0.813,0.177,0.01
Justin Anderson_1626147_Dallas Mavericks_1610612742,0.69,0.27,0.04
Kevin Garnett_708_Minnesota Timberwolves_1610612750,0.809,0.191,0
Dewayne Dedmon_203473_Orlando Magic_1610612753,0.847,0.153,0
Robert Sacre_203135_Los Angeles Lakers_1610612747,0.707,0.293,0
Tayshaun Prince_2419_Minnesota Timberwolves_1610612750,0.728,0.241,0.031
Omer Asik_201600_New Orleans Pelicans_1610612740,0.865,0.13,0.005
Kirk Hinrich_2550__1610612741,0.388,0.434,0.178
Luc Mbah a Moute_201601_Los Angeles Clippers_1610612746,0.836,0.164,0
Chris Johnson_203187_Utah Jazz_1610612762,0.751,0.233,0.016
Tarik Black_204028_Los Angeles Lakers_1610612747,0.769,0.221,0.01
Chris Andersen_2365_Memphis Grizzlies_1610612763,0.847,0.139,0.014
Reggie Bullock_203493__1610612765,0.837,0.163,0
Andre Miller_1889_Minnesota Timberwolves_1610612750,0.316,0.357,0.327
Kostas Papanikolaou_203123__1610612743,0.667,0.303,0.03
Sonny Weems_201603_Phoenix Suns_1610612756,0.67,0.294,0.037
Pablo Prigioni_203143__1610612746,0.381,0.374,0.245
Cristiano Felicio_1626245_Chicago Bulls_1610612741,0.875,0.125,0
Salah Mejri_1626257_Dallas Mavericks_1610612742,0.859,0.128,0.013
Jason Thompson_201574_Toronto Raptors_1610612761,0.764,0.208,0.028
Lamar Patterson_203934_Atlanta Hawks_1610612737,0.747,0.203,0.051
Ryan Hollins_200797_Memphis Grizzlies_1610612763,0.81,0.19,0
Kendrick Perkins_2570_New Orleans Pelicans_1610612740,0.627,0.307,0.067
Nick Collison_2555_Oklahoma City Thunder_1610612760,0.835,0.165,0
