PLAYER_NAME,0 Dribbles,1 Dribble,2 Dribbles,3-6 Dribbles,7+ Dribbles
Vince Carter_1713_Memphis Grizzlies_1610612763,0.583,0.108,0.114,0.169,0.026
Kosta Koufos_201585_Sacramento Kings_1610612758,0.759,0.161,0.039,0.037,0.005
D.J. Augustin_201571__1610612760,0.271,0.1,0.071,0.26,0.297
Andre Iguodala_2738_Golden State Warriors_1610612744,0.549,0.209,0.086,0.123,0.033
Iman Shumpert_202697__1610612739,0.485,0.155,0.149,0.152,0.059
Andrew Nicholson_203094_Orlando Magic_1610612753,0.58,0.098,0.176,0.143,0.003
Kris Humphries_2743_Washington Wizards_1610612764,0.789,0.119,0.065,0.027,0
Donatas Motiejunas_202700_Houston Rockets_1610612745,0.652,0.176,0.078,0.088,0.005
Leandro Barbosa_2571_Golden State Warriors_1610612744,0.478,0.189,0.1,0.2,0.032
Trey Lyles_1626168_Utah Jazz_1610612762,0.621,0.179,0.133,0.067,0
Amir Johnson_101161_Boston Celtics_1610612738,0.72,0.14,0.069,0.069,0.002
Alexis Ajinca_201582_New Orleans Pelicans_1610612740,0.727,0.215,0.051,0.006,0
Spencer Hawes_201150_Charlotte Hornets_1610612766,0.711,0.138,0.092,0.059,0
Ty Lawson_201951__1610612745,0.278,0.167,0.099,0.227,0.229
Mario Hezonja_1626209_Orlando Magic_1610612753,0.543,0.15,0.138,0.123,0.046
Tony Snell_203503_Chicago Bulls_1610612741,0.525,0.127,0.13,0.15,0.068
Charlie Villanueva_101111_Dallas Mavericks_1610612742,0.64,0.146,0.159,0.055,0
Steven Adams_203500_Oklahoma City Thunder_1610612760,0.858,0.092,0.026,0.024,0
Maurice Harkless_203090_Portland Trail Blazers_1610612757,0.655,0.116,0.116,0.106,0.007
Josh Richardson_1626196_Miami Heat_1610612748,0.496,0.088,0.125,0.143,0.147
Willie Cauley-Stein_1626161_Sacramento Kings_1610612758,0.795,0.142,0.05,0.012,0
Dante Cunningham_201967_New Orleans Pelicans_1610612740,0.756,0.166,0.054,0.024,0
Tim Hardaway Jr._203501__1610612737,0.58,0.163,0.144,0.102,0.011
Jason Terry_1891__1610612745,0.668,0.062,0.094,0.121,0.056
Markel Brown_203900_Brooklyn Nets_1610612751,0.469,0.197,0.119,0.178,0.038
Raul Neto_203526_Utah Jazz_1610612762,0.353,0.113,0.149,0.261,0.125
Clint Capela_203991_Houston Rockets_1610612745,0.836,0.116,0.03,0.018,0
Jerian Grant_1626170_New York Knicks_1610612752,0.248,0.146,0.097,0.286,0.223
Seth Curry_203552__1610612758,0.45,0.095,0.095,0.141,0.218
John Henson_203089_Milwaukee Bucks_1610612749,0.629,0.296,0.069,0.007,0
Tristan Thompson_202684_Cleveland Cavaliers_1610612739,0.737,0.175,0.06,0.029,0
Mike Scott_203118_Atlanta Hawks_1610612737,0.827,0.128,0.024,0.019,0.003
