PLAYER_NAME,Overall,3 Pointers,2 Pointers,Less Than 6Ft,Less Than 10Ft,Greater Than 15Ft
Jared Dudley_201162_Washington Wizards_1610612764,0.005,-0.029,0.006,0.02,-0.008,-0.018
Greivis Vasquez_202349__1610612749,0.05,-0.059,0.135,0.067,0.138,-0.029
Cody Zeller_203469_Charlotte Hornets_1610612766,-0.026,0.037,-0.044,-0.057,-0.067,0.001
Justise Winslow_1626159_Miami Heat_1610612748,-0.014,-0.024,-0.01,0.01,-0.015,-0.007
Randy Foye_200751__1610612743,-0.013,-0.008,-0.016,0.02,0.036,-0.032
Paul Pierce_1718__1610612746,-0.004,-0.016,-0.007,-0.018,-0.02,0.001
Devin Harris_2734_Dallas Mavericks_1610612742,0.025,0.028,0.036,0.132,0.095,0.015
Rudy Gobert_203497_Utah Jazz_1610612762,-0.038,0.031,-0.056,-0.117,-0.084,0.0
David West_2561_San Antonio Spurs_1610612759,0.003,-0.022,-0.001,-0.018,0.002,0.015
TJ McConnell_204456_Philadelphia 76ers_1610612755,0.044,-0.039,0.07,0.109,0.098,0.008
Donald Sloan_202388_Brooklyn Nets_1610612751,0.06,0.03,0.079,0.193,0.119,0.0
Vince Carter_1713_Memphis Grizzlies_1610612763,0.024,0.028,0.055,0.122,0.109,0.032
Kosta Koufos_201585_Sacramento Kings_1610612758,0.014,0.044,-0.005,-0.054,-0.049,0.073
D.J. Augustin_201571__1610612760,0.051,0.004,0.094,0.184,0.15,0.0
Andre Iguodala_2738_Golden State Warriors_1610612744,0.001,-0.01,0.02,0.067,0.0,-0.017
Iman Shumpert_202697__1610612739,0.0,0.037,-0.006,0.014,-0.028,0.028
Andrew Nicholson_203094_Orlando Magic_1610612753,0.002,-0.093,0.015,-0.009,0.011,-0.074
Kris Humphries_2743_Washington Wizards_1610612764,0.021,-0.001,0.019,-0.019,-0.046,0.104
Donatas Motiejunas_202700_Houston Rockets_1610612745,-0.06,-0.045,-0.066,0.026,-0.053,-0.068
Leandro Barbosa_2571_Golden State Warriors_1610612744,0.012,0.017,0.01,0.118,0.096,-0.003
Trey Lyles_1626168_Utah Jazz_1610612762,0.005,-0.029,0.018,0.003,0.01,-0.028
Amir Johnson_101161_Boston Celtics_1610612738,-0.015,0.061,-0.039,-0.09,-0.086,0.066
Alexis Ajinca_201582_New Orleans Pelicans_1610612740,0.008,0.1,-0.016,-0.015,-0.026,0.039
Spencer Hawes_201150_Charlotte Hornets_1610612766,-0.005,-0.008,-0.017,-0.023,-0.03,-0.02
Ty Lawson_201951__1610612745,0.003,-0.075,0.055,0.155,0.116,-0.054
Mario Hezonja_1626209_Orlando Magic_1610612753,0.032,0.021,0.045,0.096,0.062,0.019
Tony Snell_203503_Chicago Bulls_1610612741,-0.036,-0.08,-0.026,-0.048,-0.041,-0.048
Charlie Villanueva_101111_Dallas Mavericks_1610612742,0.0,0.026,0.001,0.04,0.058,-0.023
