PLAYER_NAME,STL,BLK,DREB,RIM_FGM,RIM_FGA,RIM_FG_PCT
David West_2561_San Antonio Spurs_1610612759,0.6,0.7,3.0,1.8,3.8,0.48
TJ McConnell_204456_Philadelphia 76ers_1610612755,1.2,0.1,2.6,0.6,1.2,0.52
Donald Sloan_202388_Brooklyn Nets_1610612751,0.5,0.1,2.6,0.8,1.3,0.59
Vince Carter_1713_Memphis Grizzlies_1610612763,0.6,0.3,1.9,0.8,1.4,0.583
Kosta Koufos_201585_Sacramento Kings_1610612758,0.5,0.9,3.2,2.5,5.2,0.488
D.J. Augustin_201571__1610612760,0.6,0.1,1.4,0.5,0.7,0.739
Andre Iguodala_2738_Golden State Warriors_1610612744,1.1,0.3,3.2,1.1,1.8,0.592
Iman Shumpert_202697__1610612739,1.0,0.4,3.2,0.5,1.1,0.452
Andrew Nicholson_203094_Orlando Magic_1610612753,0.2,0.4,3.0,1.6,2.9,0.553
Kris Humphries_2743_Washington Wizards_1610612764,0.3,0.4,3.0,2.0,3.7,0.541
Donatas Motiejunas_202700_Houston Rockets_1610612745,0.5,0.1,1.9,1.1,2.3,0.471
Leandro Barbosa_2571_Golden State Warriors_1610612744,0.6,0.1,1.3,0.3,0.6,0.564
Trey Lyles_1626168_Utah Jazz_1610612762,0.3,0.2,3.0,1.7,3.0,0.55
Amir Johnson_101161_Boston Celtics_1610612738,0.7,1.0,4.1,2.8,5.9,0.474
Alexis Ajinca_201582_New Orleans Pelicans_1610612740,0.3,0.6,3.3,1.6,3.2,0.489
Spencer Hawes_201150_Charlotte Hornets_1610612766,0.4,0.5,3.4,2.2,4.3,0.51
Ty Lawson_201951__1610612745,0.8,0.1,1.4,0.7,1.0,0.672
Mario Hezonja_1626209_Orlando Magic_1610612753,0.5,0.2,1.9,1.0,1.5,0.661
Tony Snell_203503_Chicago Bulls_1610612741,0.3,0.3,2.8,1.0,1.9,0.541
Charlie Villanueva_101111_Dallas Mavericks_1610612742,0.3,0.2,2.1,0.8,1.5,0.554
Steven Adams_203500_Oklahoma City Thunder_1610612760,0.5,1.1,3.9,3.1,6.3,0.488
Maurice Harkless_203090_Portland Trail Blazers_1610612757,0.6,0.4,2.3,1.0,2.2,0.473
Josh Richardson_1626196_Miami Heat_1610612748,0.7,0.5,1.7,0.9,1.9,0.474
Willie Cauley-Stein_1626161_Sacramento Kings_1610612758,0.7,1.0,3.3,1.8,3.7,0.479
Dante Cunningham_201967_New Orleans Pelicans_1610612740,0.5,0.4,2.2,1.3,2.2,0.598
Tim Hardaway Jr._203501__1610612737,0.4,0.1,1.5,0.4,0.8,0.5
Jason Terry_1891__1610612745,0.7,0.1,0.9,0.4,0.8,0.582
Markel Brown_203900_Brooklyn Nets_1610612751,0.6,0.2,1.6,0.8,1.3,0.585
Raul Neto_203526_Utah Jazz_1610612762,0.8,0.0,1.3,0.6,1.2,0.51
Clint Capela_203991_Houston Rockets_1610612745,0.8,1.2,3.9,3.0,6.1,0.493
Jerian Grant_1626170_New York Knicks_1610612752,0.7,0.1,1.6,0.7,1.3,0.525
Seth Curry_203552__1610612758,0.5,0.1,1.1,0.4,0.9,0.462
John Henson_203089_Milwaukee Bucks_1610612749,0.3,1.9,2.4,2.3,5.4,0.423
Tristan Thompson_202684_Cleveland Cavaliers_1610612739,0.5,0.6,5.7,3.3,6.3,0.528
Mike Scott_203118_Atlanta Hawks_1610612737,0.3,0.2,2.0,0.8,1.7,0.476
Metta World Peace_1897__1610612747,0.6,0.3,2.0,0.7,1.5,0.49
Boris Diaw_2564_San Antonio Spurs_1610612759,0.3,0.3,2.3,1.5,2.9,0.518
Roy Hibbert_201579_Los Angeles Lakers_1610612747,0.4,1.4,3.3,3.2,6.3,0.506
Channing Frye_101112_Orlando Magic_1610612753,0.4,0.3,2.8,1.5,2.9,0.515
Thabo Sefolosha_200757_Atlanta Hawks_1610612737,1.1,0.5,3.8,1.1,1.9,0.564
Festus Ezeli_203105_Golden State Warriors_1610612744,0.4,1.1,3.6,2.8,6.3,0.436
Trevor Booker_202344_Utah Jazz_1610612762,0.7,0.5,3.6,1.3,2.4,0.552
Anthony Morrow_201627_Oklahoma City Thunder_1610612760,0.3,0.1,0.8,0.5,0.9,0.586
Tyler Zeller_203092_Boston Celtics_1610612738,0.2,0.4,1.9,1.9,3.7,0.532
Shaun Livingston_2733_Golden State Warriors_1610612744,0.7,0.3,1.6,1.0,1.5,0.633
Cameron Payne_1626166__1610612760,0.6,0.1,1.3,0.5,0.9,0.592
